aor|apprehension_landmark|n
PHO|NON-DETAINED UNIT CIS REF. IDENT|28
PHO|NON-DETAINED UNIT CIS WALK IN|27
PHO|NON-DETAINED UNIT FIELD APPREHENSION|139
PHO|NON-DETAINED UNIT REF. CAP|21
PHO|NON-DETAINED UNIT REF. LEAR|1
PHO|NON-DETAINED UNIT REF. OTHER|224
PHO|NON-DETAINED UNIT-ASYLUM NOT CREATED IN ENFORCE|255
PHO|NORGEN|1
PHO|OMA GENERAL AREA, NON-SPECIFIC|1
PHO|P&P - ADC COMMUNITY CORRECTIONS BUREAU|1
PHO|P&P - APACHE COUNTY ADULT PROBATION DIVISION|1
PHO|P&P - CHANDLER MUNICIPAL COURT PROBATION DEPARTMENT|1
PHO|P&P - MARICOPA COUNTY ADULT PROBATION DEPARTMENT|90
PHO|P&P - US PROBATION OFFICE|1
PHO|P&P - YAVAPAI COUNTY ADULT PROBATION DEPARTMENT|3
PHO|PARKER POLICE DEPARTMENT|1
PHO|PAYSON POLICE DEPARTMENT|1
PHO|PCAAT - US MARSHALS SERVICE|1
PHO|PINAL COUNTY ADULT PROBATION|1
PHO|PINAL COUNTY JAIL|102
PHO|PINAL COUNTY SHERIFF|27
PHO|RAILROAD PD|9
PHO|SAN DIEGO FUGOPS|3
PHO|SAN DIEGO INSPECTIONS|1
PHO|SAN LUIS CAP STREET ARREST|1
PHO|SAN LUIS INSPECTIONS REPROCESSED CASE|3
PHO|SAN LUIS REGIONAL DETENTION CENTER|164
PHO|SBD GENERAL AREA, NON-SPECIFIC|1
PHO|SEVIER COUNTY JAIL - UT|1
PHO|SLC GENERAL AREA, NON-SPECIFIC|2
PHO|SOMERTON CAP STREET ARREST|1
PHO|SRT - SONORAN DESERT INITIATIVE|2
PHO|SRT PHO FIELD OPERATIONS|5
PHO|SWK-ESTRELLA|170
PHO|SWK-SYCAMORE|27
PHO|TAFT FEDERAL CORRECTIONAL INSTITUTION|3
PHO|TCAAT CAP REFERRALS AZ STATE|7
PHO|TCAAT CIS REFERRALS AZ STATE|1
PHO|TCAAT COLLATERAL ARRESTS AZ STATE|5
PHO|TCAAT HSI REFERRALS AZ STATE|3
PHO|TCAAT PIMA COUNTY PAROLE AND PROBATION AZ STATE|4
PHO|TCAAT SECURE COMMUNITIES LEVEL 1 REFERRALS AZ STATE|1
PHO|TCAAT SECURE COMMUNITIES LEVEL 2 REFERRALS AZ STATE|1
PHO|TCAAT US PROBATION TUCSON AZ STATE|1
PHO|TCAAT WALK-IN AZ STATE|7
PHO|TEHACHAPI STATE PRISON|1
PHO|TUCGEN|91
PHO|TUCSON BORDER PATROL AZ STATE|1
PHO|USM OFFICE - ANY|1
PHO|VCAS COCHISE COUNTY JAIL AZ STATE|1
PHO|VCAS PIMA COUNTY JAIL AZ STATE|2
PHO|VCAS TUCSON SUB OFFICE CALL IN AZ STATE|1
PHO|VCAS US MARSHALS|1
PHO|VIOLENT CRIMINAL ALIEN SECTION (CAP)|8
PHO|VIOLENT CRIMINAL ALIEN SECTION (LEAR)|2
PHO|VIOLENT CRIMINAL ALIEN SECTION (SECURE COMMUNITY)|3
PHO|XPX GENERAL AREA, NON-SPECIFIC|1
PHO|YUMA BORDER PATROL REPROCESSED CASE|22
PHO|YUMA CAP STREET ARREST|9
PHO|YUMA COUNTY JAIL|61
PHO|YUMA COUNTY PROBATION OFFICE|18
PHO|YUMA DEPT. OF CORRECTIONS - SAN LUIS|3
PHO|YUMA POLICE DEPARTMENT|1
PHO|YUMACAP|8
PHO|NA|1167
SEA|ABERDEEN CITY JAIL, WA|11
SEA|ADAMS CO. JAIL|26
SEA|ADAMS COUNTY CORRECTIONAL CENTER|1
SEA|AIRWAY HEIGHTS|110
SEA|AK PROBATION ANCHORAGE|3
SEA|ANC GENERAL AREA, NON-SPECIFIC|1
SEA|ANCHORAGE CAP|19
SEA|ANCHORAGE CORRECTIONAL COMPLEX|23
SEA|ANCHORAGE NON-DETAINED DOCKET|31
SEA|ATLANTA, GA|1
SEA|BENTON CO. JAIL|367
SEA|BENTON COUNTY JAIL|8
SEA|BONNERS FERRY CO. JAIL|3
SEA|BOTHELL CITY JAIL|1
SEA|BREMERTON CITY JAIL|1
SEA|CHELAN CO. JAIL|167
SEA|CITY OF GRAND JUNCTION|1
SEA|CLACKAMAS COUNTY JAIL|17
SEA|CLALLAM BAY CORRECTIONS|20
SEA|CLALLAM COUNTY JAIL|6
SEA|CLARK COUNTY JAIL|157
SEA|COFFEE CREEK CORRECTIONAL|42
SEA|COFFEE CREEK CORRECTIONAL FACILITY (CCCF) & STATE INTAKE|1
SEA|COLUMBIA COUNTY JAIL|5
SEA|COLUMBIA RIVER CORRECTIONAL INSTITUTION (CRCI)|2
SEA|COOK INLET PRETRIAL FACILITY|5
SEA|COOS COUNTY JAIL|2
SEA|COWLITZ COUNTY JAIL|21
SEA|COWLITZ COUNTY JUVENILE FACILITY|1
SEA|COYOTE RIDGE CORRECTIONS|197
SEA|CROOK COUNTY JAIL|4
SEA|DESCHUTES COUNTY JAIL|16
SEA|DOUGLAS COUNTY JAIL|7
SEA|DSM GENERAL AREA, NON-SPECIFIC IOWA|1
SEA|EUGENE CAP|286
SEA|EUGENE NON-DETAINED DOCKET|306
SEA|EUGENE VCAS|27
SEA|EUMCLAW CITY JAIL|5
SEA|FAIRBANKS CORRECTIONAL CENTER|2
SEA|FEDERAL DETENTION CENTER (FDC)|375
SEA|FIFE CITY JAIL|3
SEA|FORKS CORRECTIONS|5
SEA|FRANKLIN CO. JAIL|447
SEA|FRANKLIN COUNTY JAIL|21
SEA|GRANDVIEW CITY JAIL|12
SEA|GRANT CO. JAIL, WA|441
SEA|GRANT CO. SHERIFF|11
SEA|GRAY'S HARBOR COUNTY JAIL|31
SEA|HILAND MOUNTAIN CORRECTIONAL CENTER|1
SEA|HILLCREST YOUTH CORRECTIONS FACILITY|1
SEA|ISLAND COUNTY SHERIFF|4
SEA|ISSAQUAH CITY JAIL|6
SEA|JACKSON COUNTY JAIL|18
SEA|JAK GENERAL AREA, NON-SPECIFIC|7
SEA|JEFFERSON COUNTY JAIL|8
SEA|JNA GENERAL AREA, NON-SPECIFIC|2
SEA|JOSEPHINE COUNTY JAIL|13
SEA|KAN GENERAL AREA, NON-SPECIFIC|1
SEA|KENT CITY JAIL|59
SEA|KENT COUNTY JAIL, GRAND RAPIDS, MI|1
SEA|KETCHIKAN CORRECTIONAL CENTER|1
SEA|KING CO.JAIL|1
SEA|KING COUNTY JAIL|15
SEA|KIRKLAND CITY PD|10
SEA|KITSAP COUNTY JAIL|19
SEA|KITTITAS CO. JAIL|57
SEA|KLAMATH COUNTY JAIL|5
SEA|KLICKITAT CO. JAIL|18
SEA|KOOTENAI CO. JAIL|3
SEA|LANE COUNTY JAIL|29
SEA|LASALLE DETENTION FACILITY (JENA)|10
SEA|LEMON CREEEK CORRECTIONAL CENTER|7
SEA|LEWIS COUNTY JAIL|52
SEA|LINCOLN COUNTY JAIL|9
SEA|LINN COUNTY JAIL|8
SEA|LYNNWOOD CITY JAIL|6
SEA|MACLAREN YOUTH CORRECTIONS FACILITY|12
SEA|MARION COUNTY JAIL|14
SEA|MARION COUNTY JUVENILE FACILITY|1
SEA|MARYSVILLE CITY JAIL|20
SEA|MASON COUNTY JAIL|9
SEA|MAT-SU PRETRIAL|3
SEA|MED GENERAL AREA, NON-SPECIFIC|1
SEA|MEDFORD CAP|9
SEA|MEDFORD FUG OPS|96
SEA|MEDFORD NON-DETAINED DOCKET|6
SEA|MONROE SPECIAL OFFENDER UNIT|1
SEA|MONROE SPECIAL OFFENDERS UNIT (SOU)|1
SEA|MONROE TWIN RIVERS UNIT (TRU)|20
SEA|MONROE WASHINGTON STATE REFORMATORY (WSR)|34
SEA|MULTNOMAH COUNTY JAILS (INVERNESS & MCDC)|32
SEA|NEZ PERCE COUNTY JAIL|1
SEA|NISQUALLY CITY JAIL|13
SEA|NORCOR (NORTHERN OREGON CORRECTIONS)|73
SEA|NORTHWEST DETENTION CENTER DETAINED DOCKET|44
SEA|NORWAY POLICE DEPARTMENT|1
SEA|OAK HARBOR CITY JAIL|1
SEA|OKANAGAN CO. JAIL|7
SEA|OLYMPIA CITY JAIL|3
SEA|OLYMPIC CORRECTIONS CENTER|1
SEA|OREGON DEPARTMENT OF CORRECTIONS|38
SEA|OREGON STATE CORRECTIONAL INSTITUTION (OSCI)|249
SEA|OREGON STATE PENITENTIARY (OSP)|1
SEA|OREGON STATE PENITENTIARY MINIMUM SECURITY FACILITY|15
SEA|OREGON STATE PENTENTIARY (OSP)|300
SEA|PACIFIC COUNTY JAIL|1
SEA|PIERCE CO. JAIL|4
SEA|PIERCE COUNTY JAIL|194
SEA|POLK COUNTY JAIL|12
SEA|POM GENERAL AREA, NON-SPECIFIC|1
SEA|POO CAP NON-CUSTODIAL ARREST|1286
SEA|POO VCAS NON-CUSTODIAL ARREST|48
SEA|PORTALND NON-DETAINED ARREST|185
SEA|PORTLAND FUGITIVE OPERATIONS STREET ARREST|431
SEA|REDDING SUB-OFFICE|1
SEA|REGIONAL JUSTICE CENTER|10
SEA|RICHLAND CAP|131
SEA|SANTIAM CORRECTIONAL INSTITUTION (SCI)|27
SEA|SCORE (SOUTH CORRECTIONAL ENTITY)|165
SEA|SEA CAP|1207
SEA|SEATTLE FUG OPS|866
SEA|SEATTLE NON-DETAINED DOCKET|292
SEA|SEATTLE VCAS|8
SEA|SHELTON CORRECTONS CENTER|7
SEA|SHERIDAN BOP FCI|66
SEA|SHERIDAN BOP FDC|19
SEA|SHERIDAN FCI|101
SEA|SIERRA CONSERVATION CENTER|1
SEA|SKAGIT COUNTY JAIL|60
SEA|SKAMANIA COUNTY JAIL|3
SEA|SNAKE RIVER CORRECTIONAL INSTITUTION (SRCI)|1
SEA|SNOHOMISH COUNTY JAIL|75
SEA|SPOKANE CAP|4
SEA|SPOKANE CO. JAIL|20
SEA|STAFFORD CREEK CORRECTIONS|101
SEA|STEVENS CO. JAIL|1
SEA|STREET ARREST|1
SEA|SUNNYSIDE CITY JAIL|70
SEA|TEXAS DEPT OF CRIMINAL JUSTICE, WALKER CO|2
SEA|THURSTON COUNTY JAIL|3
SEA|TILLAMOOK COUNTY JAIL|8
SEA|TOPPENISH CITY PD|17
SEA|TUCSON BORDER PATROL AZ STATE|1
SEA|UMATILLA CO. JAIL|32
SEA|UMATILLA COUNTY JAIL|44
SEA|UNION COUNTY JAIL|1
SEA|UNITED STATES MARSHALS SERVICE|7
SEA|UNITED STATES MARSHALS SERVICE (MULTNOMAH COUNTY)|143
SEA|VALDEZ JAIL|1
SEA|WALLA WALLA CO. JAIL|40
SEA|WAPATO CITY PD|31
SEA|WASHINGTON CORRECTION CENTER FOR WOMEN|17
SEA|WASHINGTON CORRECTIONS CENTER (SHELTON)|146
SEA|WASHINGTON COUNTY JAIL|62
SEA|WASHINGTON STATE PENITENTIARY|43
SEA|WASHINGTON STATE REFORMATORY|1
SEA|WENATCHEE CAP|44
SEA|WENATCHEE CITY PD|9
SEA|WHATCOM COUNTY JAIL|26
SEA|WNT GENERAL AREA, NON-SPECIFIC|1
SEA|XJA GENERAL AREA, NON-SPECIFIC|3
SEA|YAKIMA CAP|49
SEA|YAKIMA CITY JAIL|57
SEA|YAKIMA CO. JAIL|5
SEA|YAKIMA COUNTY JAIL|173
SEA|YAKIMA FUG OPS|312
SEA|YAKIMA NON DETAINED DOCKET|35
SEA|YAMHILL COUNTY JAIL|16
SEA|NA|114
SFR|ADAMS COUNTY CORRECTIONAL CENTER|2
SFR|ADE GENERAL AREA, NON-SPECIFIC|1
SFR|AGA GENERAL AREA, NON-SPECIFIC|250
SFR|ALAMEDA CITY JAIL|1
SFR|ALAMEDA COUNTY JAIL - GLENN E. DYER DETENTION FACILITY|58
SFR|ALAMEDA COUNTY JAIL - SANTA RITA|644
SFR|AMADOR COUNTY JAIL|1
SFR|AMADOR COUNTY PROBATION OFFICE|1
SFR|ATWATER - FCI|178
SFR|ATWATER POLICE DEPARTMENT|1
SFR|AVENAL STATE PRISON|311
SFR|BAKERSFIELD ERO SUB-OFFICE|81
SFR|BAKERSFIELD RESIDENCE|6
SFR|BKI GENERAL AREA, NON-SPECIFIC|1305
SFR|BUTTE COUNTY JAIL|20
SFR|CALAVERAS COUNTY JAIL|6
SFR|CALIFORNIA CITY FEDERAL CORRECTIONAL INSTITUTION|53
SFR|CALIFORNIA DEPARTMENT OF CORRECTIONS COMMUTE LIST|3
SFR|CALIFORNIA DEPT CORRECTIONS PAROLE REGION 2 OAKLAND|1
SFR|CALIFORNIA HEALTHCARE FACILITY|33
SFR|CALIFORNIA HIGHWAY PATROL|2
SFR|CALIFORNIA SUBSTANCE ABUSE TREATMENT FACILITY & STATE PRISON|172
SFR|CAP - FCI HERLONG CALIFORNIA|5
SFR|CAP - HAWAII STREET ARREST - KONA/HILO|3
SFR|CAP - MAUI STREET ARREST|10
SFR|CAP - OAHU STREET ARREST|12
SFR|CAP STREET ARREST|15
SFR|CAP STREET ARREST CA STATE|2
SFR|CASSIA COUNTY MISDEMEANOR PROBATION OFFICE ID|1
SFR|CCC SUSANVILLE|52
SFR|CCF FOLSOM|5
SFR|CENTRAL CALIFORNIA WOMEN'S FACILITY|30
SFR|CENTRAL VALLEY CCF|164
SFR|CERES POLICE DEPARTMENT|1
SFR|CHI GENERAL AREA, NON-SPECIFIC|1
SFR|CHOWCHILLA POLICE DEPARTMENT|2
SFR|CITY OF ALAMOSA|1
SFR|CLOVERDALE POLICE DEPARTMENT|1
SFR|CMF VACAVILLE|42
SFR|COALINGA POLICE DEPARTMENT|7
SFR|COLUSA COUNTY JAIL|5
SFR|CONCORD POLICE DEPARTMENT|5
SFR|CONTRA COSTA COUNTY JAIL MAIN- CA|98
SFR|CONTRA COSTA COUNTY JAIL WEST-CA|82
SFR|CORCORAN POLICE DEPARTMENT|1
SFR|CORCORAN STATE PRISON|96
SFR|CSP FOLSOM|137
SFR|CSP HIGH DESERT|30
SFR|CSP MULE CREEK|1
SFR|CSP SACRAMENTO|28
SFR|CSP SOLANO|106
SFR|DELANO CCF|101
SFR|DELANO POLICE DEPARTMENT|1
SFR|DEUEL VOCATIONAL INSTITUTION|87
SFR|DUAL VOCATIONAL INSTITUTE|55
SFR|DUBLIN FCI/FDC/FPC - CA|286
SFR|EAST MESA DETENTION FACILITY|1
SFR|EL DORADO COUNTY JAIL|7
SFR|FCI LA TUNA|1
SFR|FCI MENDOTA|223
SFR|FDC HONOLULU|5
SFR|FOS GENERAL AREA, NON-SPECIFIC|1
SFR|FRD GENERAL AREA, NON-SPECIFIC|4
SFR|FRE GENERAL AREA, NON-SPECIFIC|1977
SFR|FREMONT CITY JAIL|2
SFR|FRESNO COUNTY|114
SFR|FRESNO COUNTY JAIL|545
SFR|FRESNO COUNTY PROBATION DEPARTMENT|1
SFR|FRESNO COUNTY SHERIFF'S DEPARTMENT|5
SFR|FRESNO PAROLE UNIT|1
SFR|FRESNO POLICE DEPARTMENT|1
SFR|FUG - NON FUGITIVE|15
SFR|FUGITIVE OPERATIONS|912
SFR|FUGITIVE OPERATIONS - RENO, NEVADA|10
SFR|FUGITIVE OPERATIONS CA STATE|636
SFR|FUGITIVE OPERATIONS REFERRAL|1
SFR|FUGOPS|65
SFR|FUGOPS - HAWAII STREET ARREST - KONA/HILO|14
SFR|FUGOPS - KAUAI STREET ARREST|4
SFR|FUGOPS - MAUI STREET ARREST|28
SFR|FUGOPS - OAHU STREET ARREST|29
SFR|GELNN COUNTY JAIL|8
SFR|GLENN COUNTY SHERIFF OFFICE|2
SFR|GOLDEN STATE CCF|152
SFR|GRIDLEY POLICE DEPARTMENT|1
SFR|HALAWA CORRECTIONAL FACILITY|12
SFR|HAWAII COMMUNITY CORRECTIONAL CENTER|16
SFR|HAWAII POLICE DEPARTMENT|4
SFR|HAWAII PROBATION AND PAROLE - KONA/HILO|1
SFR|HAYWARD POLICE DEPARTMENT|2
SFR|HHW GENERAL AREA, NON-SPECIFIC|985
SFR|HLG GENERAL AREA, NON-SPECIFIC|1
SFR|HONOLULU POLICE DEPARTMENT|2
SFR|HONOLULU SHERIFF DIVISION|7
SFR|HOUSTON, NORTHEAST SIDE|1
SFR|HUMBOLT COUNTY JAIL - CA|2
SFR|HURON POLICE DEPARTMENT|8
SFR|INYO COUNTY JAIL|5
SFR|JAK GENERAL AREA, NON-SPECIFIC|2
SFR|JCART - MAUI STREET ARREST|1
SFR|KAN GENERAL AREA, NON-SPECIFIC|1
SFR|KERN COUNTY|842
SFR|KERN COUNTY JAIL LERDO|822
SFR|KERN COUNTY SHERIFF'S DEPARTMENT|7
SFR|KERN VALLEY STATE PRISON|42
SFR|KINGS COUNTY|10
SFR|KINGS COUNTY JAIL|70
SFR|LAKE COUNTY JAIL - CA|6
SFR|LASALLE DETENTION FACILITY (JENA)|4
SFR|LASSEN COUNTY JAIL|1
SFR|LEAR STREET ARREST|1
SFR|LIVERMORE POLICE DEPARTMENT|1
SFR|LOS ANGELES COUNTY GENERAL AREA, NON-SPECIFIC|5
SFR|LOS BANOS POLICE DEPARTMENT|4
SFR|LRD GENERAL AREA, NON-SPECIFIC|1
SFR|MADERA COUNTY|32
SFR|MADERA COUNTY JAIL|74
SFR|MADERA COUNTY PROBATION|1
SFR|MADERA COUNTY SHERIFF'S DEPARTMENT|1
SFR|MADERA POLICE DEPARTMENT|1
SFR|MANTECA POLICE DEPARTMENT|1
SFR|MARIN COUNTY JAIL - CA|197
SFR|MARIN COUNTY SHERIFF'S DEPARTMENT|17
SFR|MARIPOSE COUNTY|1
SFR|MAUI COMMUNITY CORRECTIONAL CENTER|12
SFR|MAUI POLICE DEPARTMENT|4
SFR|MAUI PROBATION AND PAROLE|7
SFR|MCFARLAND CCF|48
SFR|MENDOCINO COUNTY JAIL - CA|22
SFR|MENDOTA POLICE DEPARTMENT|6
SFR|MERCED COUNTY|39
SFR|MERCED COUNTY JAIL|88
SFR|MERCED COUNTY PROBATION DEPARTMENT|2
SFR|MERCED COUNTY SHERIFF'S DEPARTMENT|1
SFR|MERCED PAROLE UNIT|1
SFR|MESA VERDE CCF|4
SFR|METROPOLITAN DETENTION CENTER, LOS ANGELES, CA|1
SFR|MONO COUNTY|1
SFR|MONO COUNTY JAIL|2
SFR|MONTEREY COUNTY JAIL|788
SFR|MONTEREY COUNTY PROBATION|1
SFR|MONTEREY COUNTY SHERIFF'S OFFICE|1
SFR|MULE CREEK STATE PRISON|44
SFR|"NAPA COUNTY JAIL - CA"|28
SFR|NEVADA COUNTY JAIL|20
SFR|NEVADA COUNTY SHERIFF OFFICE|3
SFR|NOL GENERAL AREA, NON-SPECIFIC|1
SFR|NON DETAINED - FACILITY ARREST|2
SFR|NON DETAINED STREET ARREST|75
SFR|NORTH KERN STATE PRISON|204
SFR|OAHU COMMUNITY CORRECTIONAL CENTER|42
SFR|OAHU PROBATION AND PAROLE|10
SFR|OAKLAND POLICE DEPARTMENT|1
SFR|PARLIER POLICE DEPARTMENT|4
SFR|PASADENA, TEXAS|1
SFR|PATTERSON POLICE DEPARTMENT|1
SFR|PEKIN FEDERAL CORR. INSTITUTE, (BOP)|1
SFR|PELICAN BAY STATE PRISON - CA|14
SFR|PETALUMA POLICE DEPARTMENT|1
SFR|PINE GROVE YOUTH CONSERVATION CAMP|1
SFR|PITTSBURG POLICE DEPARTMENT|2
SFR|PLACER COUNTY JAIL|15
SFR|PLACER COUNTY SHERIFF OFFICE|1
SFR|PLEASANT VALLEY STATE PRISON|67
SFR|PORTERVILLE POLICE DEPARTMENT|3
SFR|RANCHO CORDOVA POLICE DEPARTMENT|1
SFR|RCM GENERAL AREA, NON-SPECIFIC|2
SFR|RED BLUFF POLICE DEPARTMENT|5
SFR|REDDING SUB-OFFICE|326
SFR|REEDLEY POLICE DEPARTMENT|4
SFR|REN GENERAL AREA, NON-SPECIFIC|2
SFR|RIO COSUMNES CORRECTIONAL CENTER|258
SFR|ROBERT PRESLEY DETENTION CENTER RIVERSIDE, CA|1
SFR|SAA GENERAL AREA, NON-SPECIFIC|2
SFR|SAC GENERAL AREA, NON-SPECIFIC|508
SFR|SACRAMENTO COUNTY JAIL|429
SFR|SACRAMENTO COUNTY PROBATION DEPARTMENT|1
SFR|SACRAMENTO CRIMINAL ALIEN PROGRAM|3
SFR|SACRAMENTO ERO OFFICE|49
SFR|SACRAMENTO SHERIFF OFFICE|4
SFR|SAI GENERAL AREA, NON-SPECIFIC|224
SFR|SAIPAN DEPT OF CORRECTIONS|30
SFR|SAIPAN ERO OFFICE|79
SFR|SAIPAN SUPERIOR COURT|1
SFR|SALINAS POLICE DEPARTMENT|1
SFR|SALINAS VALLEY STATE PRISON|23
SFR|SAN ANGELO SUB-OFFICE|1
SFR|SAN BENITO COUNTY JAIL|3
SFR|SAN BENITO COUNTY SHERIFF'S OFFICE|1
SFR|SAN FRANCISCO COUNTY JAIL - CA|1
SFR|SAN FRANCISCO COUNTY SHERIFF'S OFFICE|2
SFR|SAN FRANCISCO DISTRICT OFFICE|171
SFR|SAN FRANCISCO PARK RANGER|2
SFR|SAN FRANCISCO PATROL SPECIAL POLICE DEPARTMENT|1
SFR|SAN FRANCISCO STATE UNIVERSITY POLICE DEPARTMENT|1
SFR|SAN JOAQUIN COUNTY JAIL|87
SFR|SAN JOAQUIN COUNTY JUVENILE HALL|1
SFR|SAN JOAQUIN COUNTY PROBATION OFFICE|1
SFR|SAN JOSE POLICE DEPARTMENT|1
SFR|SAN MATEO ADULT PROBATION|3
SFR|SAN MATEO COUNTY JAIL - CA|339
SFR|SAN MATEO COUNTY SHERIFF'S OFFICE|3
SFR|SAN QUENTIN STATE PRISON (MAIN) - CA|163
SFR|SAN QUENTIN STATE PRISON (PRISON RECEPTION ) - CA|11
SFR|SAN RAFAEL POLICE DEPARTMENT|4
SFR|SANDY MUSH JAIL|4
SFR|SANGER POLICE DEPARTMENT|1
SFR|SANTA ANA FEDERAL BUILDING, 34 CIVIC CENTER PLAZA|1
SFR|SANTA CLARA COUNTY JAIL|2
SFR|SANTA CRUZ COUNTY JAIL|17
SFR|SANTA CRUZ POLICE DEPARTMENT|3
SFR|SBD GENERAL AREA, NON-SPECIFIC|2
SFR|SELMA POLICE DEPARTMENT|1
SFR|SFD GENERAL AREA, NON-SPECIFIC|3
SFR|SFR GENERAL AREA, NON-SPECIFIC|964
SFR|SHAFTER CCF|132
SFR|SHAFTER POLICE DEPARTMENT|1
SFR|SHASTA COUNTY JAIL|1
SFR|SIERRA CONSERVATION CENTER|192
SFR|SIERRA COUNTY JAIL|3
SFR|SISKYOU COUNTY JAIL|7
SFR|SNA GENERAL AREA, NON-SPECIFIC|8
SFR|SNJ GENERAL AREA, NON-SPECIFIC|778
SFR|SOLANO COUNTY JAIL|101
SFR|SOLANO COUNTY PROBATION DEPARTMENT|1
SFR|SOLANO SHERIFF OFFICE|2
SFR|SOLEDAD CORRECTIONAL TRAINING FACILITY|357
SFR|SOLEDAD POLICE DEPARTMENT|3
SFR|SONOMA COUNTY JAIL|289
SFR|SONOMA COUNTY SHERIFF'S DEPARTMENT|3
SFR|SOUTHERN DESERT CORRECTIONAL CENTER (NDOC)|2
SFR|STANISLAUS COUNTY JAIL|106
SFR|STANISLAUS COUNTY PROBATION DEPARTMENT|29
SFR|STANISLAUS COUNTY PUBLIC SAFETY CENTER|80
SFR|STANISLAUS COUNTY SHERIFF OFFICE|9
SFR|STANISLAUS COUNTY SHERIFF'S DEPARTMENT|1
SFR|STANISLAUS DEA|1
SFR|STEWART DETENTION CENTER REPROCESSING|1
SFR|STO GENERAL AREA, NON-SPECIFIC|541
SFR|SUTTER COUNTY JAIL|33
SFR|SUTTER COUNTY SHERIFF OFFICE|1
SFR|TAFT COMMUNITY CORRECTIONAL FACILITY|134
SFR|TAFT FEDERAL CORRECTIONAL INSTITUTION|3037
SFR|TAFT POLICE DEPARTMENT|10
SFR|TEHACHAPI POLICE DEPARTMENT|1
SFR|TEHACHAPI STATE PRISON|192
SFR|TEHAMA COUNTY JAIL|31
SFR|TEHAMA SHERIFF OFFICE|2
SFR|TRINITY COUNTY JAIL|14
SFR|TRUCKEE POLICE DEPARTMENT|1
SFR|TULARE COUNTY|58
SFR|TULARE COUNTY JAIL|205
SFR|TULARE POLICE DEPARTMENT|3
SFR|TUOLUMNE COUNTY JAIL|2
SFR|UNITED STATES MARSHALS SERVICE|19
SFR|VALLEY STATE PRISON FOR WOMEN|45
SFR|VCAS STREET ARREST CA STATE|2
SFR|WASCO STATE PRISON|227
SFR|WATERFORD POLICE DEPARTMENT|1
SFR|XSF GENERAL AREA, NON-SPECIFIC|1
SFR|XSN GENERAL AREA, NON-SPECIFIC|1
SFR|YAKIMA FUG OPS|2
SFR|YOLO COUNTY JAIL|3
SFR|YUBA COUNTY JAIL|29
SFR|NA|239
SLC|ADA COUNTY COURTHOUSE|1
SLC|ADA COUNTY FELONY PROBATION OFFICE ID|1
SLC|ADA COUNTY GENERAL AREA ID|18
SLC|ADA COUNTY JAIL ID|90
SLC|ADA COUNTY MISDEMEANOR PROBATION OFFICE ID|1
SLC|ADAMS COUNTY MISDEMEANOR PROBATION OFFICE ID|2
SLC|ADULT PROBATIONS AND PAROLE|2
SLC|BAKER COUNTY JAIL, OREGON|1
SLC|BANNOCK COUNTY JAIL ID|16
SLC|BANNOCK COUNTY MISDEMEANOR PROBATION OFFICE ID|1
SLC|BEAVER COUNTY JAIL, UT|11
SLC|BEAVERHEAD COUNTY JAIL MT|2
SLC|BIG SPRING FCI|1
SLC|BIGHORN COUNTY JAIL MT|5
SLC|BIL GENERAL AREA, NON-SPECIFIC|7
SLC|BILLINGS STATE PAROLE AND PROBATION|1
SLC|BINGHAM COUNTY JAIL IDAHO|22
SLC|BINGHAM COUNTY MISDEMEANOR PROBATION OFFICE ID|3
SLC|BKI GENERAL AREA, NON-SPECIFIC|1
SLC|BLAINE COUNTY JAIL ID|72
SLC|BLAINE COUNTY MISDEMEANOR PROBATION OFFICE ID|1
SLC|BOI GENERAL AREA, NON-SPECIFIC|231
SLC|BOISE COUNTY MISDEMEANOR PROBATION OFFICE ID|1
SLC|BOISE ICE OFFICE|17
SLC|BONNER COUNTY MISDEMEANOR PROBATION OFFICE ID|1
SLC|BONNEVILLE COUNTY JAIL ID|120
SLC|BOULDER CITY NEVADA JAIL|3
SLC|BOX ELDER COUNTY JAIL - UT|30
SLC|BOZEMAN AREA|2
SLC|BUTTE SILVERBOW COUNTY JAIL MT|4
SLC|BUTTE, MT PROBATION&PAROLE|1
SLC|CACHE COUNTY JAIL - UT|138
SLC|CANYON COUNTY GENERAL AREA ID|11
SLC|CANYON COUNTY JAIL ID|289
SLC|CANYON COUNTY MISDEMEANOR PROBATION OFFICE ID|3
SLC|CANYON COUNTY PROBATION AND PAROLE ID|3
SLC|CANYON COUNTY WORK RELEASE ID|1
SLC|CAP - CARSON CITY JAIL, CARSON CITY NEVADA|50
SLC|CAP - CHURCHILL COUNTY JAIL, FALLON, NEVADA|10
SLC|CAP - DEPARTMENT OF CORRECTIONS, NEVADA|169
SLC|CAP - DOUGLAS COUNTY JAIL, MINDEN, NEVADA|30
SLC|CAP - ELKO COUNTY JAIL, ELKO, NEVADA|30
SLC|CAP - FCI HERLONG CALIFORNIA|469
SLC|CAP - HUMBOLDT COUNTY JAIL, WINNEMUCCA, NEVADA|10
SLC|CAP - LANDER COUNTY JAIL, BATTLE MOUNTAIN, NEVADA|1
SLC|CAP - LYON COUNTY JAIL, YEARINGTON, NEVADA|17
SLC|CAP - MINERAL COUNTY JAIL, HAWTHORNE, NEVADA|4
SLC|CAP - PERSHING COUNTY JAIL, LOVELOCK, NEVADA|9
SLC|CAP - STATE PAROLE AND PROBATION, NEVADA|1
