"","landmark","total"
"6257","RARITAN PD",18
"6258","RARITAN TWP PD",31
"6259","RAVALLI COUNTY JAIL MT",5
"6260","RAWLINS COUNTY SHERIFFS OFFICE, ATWOOD, KANSAS",2
"6261","RAY COUNTY SHERIFFS OFFICE MISSOURI",2
"6262","RCM GENERAL AREA, NON-SPECIFIC",629
"6263","RCTGEN-REFUGIO COUNTY SHERIFF'S OFFICE",15
"6264","RDU GENERAL AREA, NON-SPECIFIC",1539
"6265","RDU GENERAL AREA, WAKE 287G",308
"6266","READINGTON TWP PD",23
"6267","REAGAN  COUNTY JAIL - BIG LAKE, TX",4
"6268","REAGAN COUNTY JAIL BIG LAKE, TX",6
"6269","Reagan County, TX At Large",2
"6270","Reagan County, TX Jail",11
"6271","REAL COUNTY JAIL - TX1930000",3
"6272","RECEPTION AND MEDICAL CENTER FLDOC",174
"6273","RED BANK PD",78
"6274","RED BLUFF POLICE DEPARTMENT",6
"6275","RED LAKE LAW ENFORCEMENT SERVICES, MN",1
"6276","RED ONION STATE PRISON-VA",1
"6277","RED RIVER COUNTY GENERAL AREA",1
"6278","RED RIVER COUNTY SHERIFFS OFFICE",2
"6279","RED WILLOW COUNTY JAIL, NE",7
"6280","REDDING POLICE DEPARTMENT",2
"6281","REDDING SUB-OFFICE",396
"6282","REDFORD POLICE DEPARTMENT",6
"6283","REDFORD, MICHIGAN",14
"6284","REDONDO BEACH POLICE DEPT, REDONDO BEACH, CA",1
"6285","REDWOOD CITY POLICE DEPARTMENT",3
"6286","REDWOOD COUNTY JAIL, MN",7
"6287","REEDLEY POLICE DEPARTMENT",43
"6288","REEVES COUNTY DETENTION CENTER 1 AND 2 98 W. County Rd 210 Pecos, Texas 79772",551
"6289","REEVES COUNTY DETENTION CENTER 3 100 W County Rd 470  Pecos Texas 79772",663
"6290","REEVES COUNTY DETENTION CENTER 3 98 W County Rd 470  Pecos Texas 79772",202
"6291","REEVES COUNTY JAIL",22
"6292","REFUGIO COUNTY JAIL, REFUGIO, TX",4
"6293","REFUGIO COUNTY JAIL, REFUGIO,TX",8
"6294","REGIONAL JUSTICE CENTER",113
"6295","REIDSVILLE, GA",1
"6296","REIDSVILLE, NC",5
"6297","REMANN HALL JUVENILE",2
"6298","REN GENERAL AREA, NON-SPECIFIC",458
"6299","RENO COUNTY SHERIFFS OFFICE, HUTCHINSON, KANSAS",9
"6300","RENO OFFICE OF PAROLE & PROBATION",3
"6301","RENSSELAER COUNTY",3
"6302","RENSSELAER COUNTY JAIL",81
"6303","RENSSELAER COUNTY PROBATION",2
"6304","RENSSELAER COUNTY SHERIFFS OFFICE",2
"6305","RENTON CITY JAIL",2
"6306","RENTZ, GA",1
"6307","RENVILLE COUNTY JAIL, MN",17
"6308","REVERE POLICE DEPT",10
"6309","REYNOLDS COUNTY SHERIFF'S DEPARTMENT, MISSOURI",2
"6310","RHEA COUNTY JAIL, TN",86
"6311","RHODE ISLAND STATE POLICE",5
"6312","RHOME POLICE DEPARTMENT",2
"6313","RICE COUNTY JAIL, MN",90
"6314","RICE COUNTY SHERIFFS OFFICE, LYONS, KANSAS",2
"6315","RICH COUNTY JAIL - UT",1
"6316","RICHARD A. HANDLON CORRECTIONAL FACILITY, IONIA, MI",1
"6317","RICHARDSON CITY JAIL",311
"6318","RICHARDSON COUNTY JAIL, NE",2
"6319","RICHFIELD POLICE DEPARTMENT, MN",15
"6320","Richland CAP",145
"6321","RICHLAND COUNTY ALLEN S. GLENN DETENTION CENTER",2
"6322","RICHLAND COUNTY JAIL",14
"6323","RICHLAND COUNTY JAIL MT",3
"6324","RICHLAND COUNTY JAIL, ND",52
"6325","RICHLAND COUNTY PROBATION & PAROLE OFFICE	",1
"6326","RICHLAND COUNTY, SC",359
"6327","RICHLAND HILLS POLICE DEPARTMENT",2
"6328","RICHMOND CITY JAIL - VA",99
"6329","RICHMOND CITY JAIL-VA",104
"6330","RICHMOND COUNTY JAIL",8
"6331","RICHMOND COUNTY, NC",5
"6332","RICHMOND HILL, GA",3
"6333","RICHMOND POLICE DEPARTMENT",31
"6334","RICHMOND POLICE DEPT, FORT BEND CO,TX",18
"6335","RICHMOND VIRGINIA AREA",19
"6336","RICHMOND, MICHIGAN",1
"6337","RICMOND COUNTY, GA",54
"6338","RIDGEFIELD PARK PD",29
"6339","RIDGEFIELD PD",66
"6340","RIDGELAND CORRECTIONAL INSTITUTION",41
"6341","RIDGEWOOD PD",17
"6342","RIFLE, COLORADO",20
"6343","RII GENERAL AREA, NON-SPECIFIC",437
"6344","RILEY COUNTY SHERIFFS OFFICE KANSAS",12
"6345","RINGGOLD, GA",6
"6346","RINGWOOD BOROUGH PD",5
"6347","RIO ARRIBA COUNTY DETENTION CENTER, TIERRA AMARILLA, NM",42
"6348","RIO BLANCO COUNTY JAIL",3
"6349","RIO BLANCO COUNTY JAIL, MEEKER, CO",10
"6350","RIO COSUMNES CORRECTIONAL CENTER",151
"6351","RIO GRANDE CITY JAIL, TX",5
"6352","RIO GRANDE COUNTY",1
"6353","RIO GRANDE COUNTY JAIL",27
"6354","RIO GRANDE COUNTY, CO",7
"6355","RIO GRANDE DETENTION FACILITY",3
"6356","RIPLEY COUNTY SHERIFF'S OFFICE, VERSAILLES, INDIANA",3
"6357","RIPPON POLICE DEPARTMENT",5
"6358","RIVER  VALE PD",9
"6359","RIVER CORRECTIONAL CENTER (CONCORDIA #2)",2
"6360","RIVER EDGE PD",10
"6361","River North Correctional Center-VA",4
"6362","RIVER OAKS POLICE DEPARTMENT",5
"6363","RIVER ROUGE POLICE DEPARTMENT",1
"6364","RIVER ROUGE, MICHIGAN",2
"6365","RIVERBANK POLICE DEPARTMENT",1
"6366","RIVERDALE MUNICIPAL PROBATION",1
"6367","RIVERDALE PD",13
"6368","RIVERDALE, GA",22
"6369","RIVERS BOP FACILITY",1
"6370","RIVERSIDE COUNTY GENERAL AREA",101
"6371","RIVERSIDE COUNTY, CA",1
"6372","RIVERSIDE JUVENILE HALL RIVERSIDE, CA",1
"6373","RIVERSIDE REGIONAL JAIL",25
"6374","RIVERSIDE REGIONAL JAIL - VA",10
"6375","RIVERSIDE TOWNSHIP POLICE DEPARTMENT",27
"6376","RIVERVIEW, MICHIGAN",1
"6377","RMK GENERAL AREA, NON-SPECIFIC",282
"6378","RNS GENERAL AREA, NON-SPECIFIC",158
"6379","ROANE COUNTY JAIL, TN",7
"6380","ROANOKE CITY JAIL - VA",60
"6381","ROANOKE CITY JAIL-VA",255
"6382","ROANOKE COUNTY JAIL - VA",51
"6383","ROANOKE COUNTY JAIL-VA",97
"6384","ROBERT PRESLEY DETENTION CENTER RIVERSIDE, CA",122
"6385","ROBERT PRESLEY DETENTION, RIVERSIDE, CA",2
"6386","ROBERTS CO JAIL, SISSETON, SD",7
"6387","ROBERTSDALE PD, AL",33
"6388","ROBERTSON COUNTY JAIL - FRANKLIN, TX",3
"6389","ROBERTSON COUNTY JAIL FRANKLIN, TX",10
"6390","ROBERTSON COUNTY JAIL, FRANLKIN, TX",1
"6391","ROBERTSON COUNTY JAIL, TN",78
"6392","ROBESON CO PROBATION 117 W 5TH ST LUMBERTON",1
"6393","ROBESON COUNTY FUGITIVE OPERATIONS",13
"6394","ROBESON COUNTY JAIL",171
"6395","ROBESON COUNTY, NC",4
"6396","ROBINSON CORRECTIONAL INSTITUTION, ENFIELD, CT",45
"6397","ROCHELLE PARK PD",17
"6398","ROCHESTER CORRECTIONAL FACILITY",1
"6399","ROCHESTER FUGOPS",28
"6400","ROCHESTER HILLS, MICHIGAN",28
"6401","ROCHESTER POLICE DEPARTMENT",3
"6402","ROCK SPRINGS, WY",36
"6403","ROCKAWAY BOROUGH PD",1
"6404","ROCKAWAY TWP PD",45
"6405","ROCKBRIDGE REGIONAL JAIL - VA",19
"6406","ROCKBRIDGE REGIONAL JAIL-VA",42
"6407","ROCKCASTLE COUNTY DETENTION CTR, KY",1
"6408","ROCKDALE COUNTY, GA",64
"6409","ROCKINGHAM COUNTY DOC",264
"6410","ROCKINGHAM COUNTY JAIL",79
"6411","ROCKINGHAM COUNTY NH",549
"6412","ROCKINGHAM COUNTY, NC",5
"6413","ROCKINGHAM, NC",10
"6414","ROCKINGHAM/HARRISONBURG REGIONAL JAIL - VA",465
"6415","ROCKINGHAM/HARRISONBURG REGIONAL JAIL-VA",1
"6416","ROCKLAND POLICE DEPARTMENT",3
"6417","ROCKMART, GA",1
"6418","Rockwall County Adult Probation",7
"6419","Rockwall County Criminal at Large",6
"6420","ROCKWALL COUNTY GENERAL AREA",9
"6421","ROCKWALL COUNTY JAIL",206
"6422","ROCKWALL COUNTY SHERIFF'S OFFICE",13
"6423","ROCKWOOD POLICE DEPARTMENT",1
"6424","ROGERS COUNTY JAIL",28
"6425","ROME CITY POLICE DEPARTMENT",2
"6426","ROME PROBATION OFFICE",1
"6427","ROME, GA",39
"6428","ROMULUS POLICE DEPARTMENT",5
"6429","ROMULUS, MICHIGAN",4
"6430","RON JACKSON YOUTH CORRECTIONAL FACILITY - BROWNWOOD, TX",10
"6431","ROOKS COUNTY SHERIFFS OFFICE, STOCKTON, KANSAS",2
"6432","ROOSEVELT COUNTY JAIL MT",1
"6433","ROSCOMMON COUNTY JAIL, ROSCOMMON, MI",1
"6434","ROSEAU CO JAIL, ROSEAU, MN",17
"6435","ROSEAU COUNTY JAIL, MN",1
"6436","ROSEBUD COUNTY JAIL MT",2
"6437","ROSELAND PD",11
"6438","ROSELLE PARK PD",25
"6439","ROSELLE PD",44
"6440","ROSENBERG POLICE DEPT, FORT BEND COUNTY, TX",28
"6441","ROSENBERG POLICE DEPT,FORT BEND CO,TX",16
"6442","ROSENBERG, TEXAS",24
"6443","ROSEVILLE POLICE DEPARTMENT, ROSEVILLE, MI",5
"6444","ROSS COUNTY JAIL",2
"6445","ROSWELL CORRECTIONAL CENTER",2
"6446","ROSWELL MUNICIPAL PROBATION",1
"6447","ROSWELL, GA",55
"6448","Roswell, NM Sub-Office, NM",694
"6449","ROUND ROCK POLICE DEPARTMENT",1
"6450","ROUTT COUNTY",7
"6451","ROUTT COUNTY JAIL",11
"6452","ROUTT COUNTY JAIL, STEAMBAOT SPRINGS, CO",113
"6453","ROWAN CO PROBATION 122 E KERR ST SALISBURY",1
"6454","ROWAN COUNTY DETENTION CTR, KY",16
"6455","ROWAN COUNTY JAIL",93
"6456","ROWAN COUNTY, NC",20
"6457","ROWLETT POLICE DEPARTMENT",21
"6458","ROXBURY PD",33
"6459","ROYAL OAK, MICHIGAN",27
"6460","ROYSTON, GA",1
"6461","RPC GENERAL AREA, NON-SPECIFIC",6
"6462","RUIDOSO, NEW MEXICO",1
"6463","RUMSON PD",2
"6464","RUNAWAY BAY POLICE DEPARTMENT",2
"6465","RUNNELS COUNTY JAIL - BALLINGER, TX",4
"6466","RUNNELS COUNTY JAIL BALLINGER, TX",4
"6467","Runnels County, TX Jail",11
"6468","RUNNEMEDE POLICE DEPARTMENT",1
"6469","RUSH COUNTY SHERIFFS OFFICE, LACROSSE, KANSAS",1
"6470","RUSK COUNTY CRIM AT LARGE",3
"6471","RUSK COUNTY GENERAL AREA",5
"6472","RUSK COUNTY JAIL",51
"6473","RUSK COUNTY PROBATION",3
"6474","RUSK COUNTY SHERIFFS OFFICE",37
"6475","RUSSELL COUNTY JAIL, KY",50
"6476","RUSSELL COUNTY SHERIFFS OFFICE, RUSSELL, KANSAS",5
"6477","RUTGERS UNIVERSITY PD",79
"6478","RUTHERFORD COUNTY JAIL",9
"6479","RUTHERFORD COUNTY JAIL, TN",418
"6480","RUTHERFORD COUNTY, NC",3
"6481","RUTHERFORD PD",9
"6482","RYAN CORRECTIONAL FACILITY, DETROIT, MI",1
"6483","S.C.I A.C. WAGNER, NEW JERSEY",27
"6484","S.C.I BAYSIDE, NEW JERSEY",42
"6485","S.C.I CRAF, NEW JERSEY",49
"6486","S.C.I GARDEN STATE, NEW JERSEY",81
"6487","S.C.I MID STATE, NEW JERSEY",33
"6488","S.C.I NEW JERSEY STATE PRISON",9
"6489","S.C.I SOUTHERN STATE, NEW JERSEY",192
"6490","S.C.I SOUTHWOODS, NEW JERSEY",225
"6491","SAA GENERAL AREA, NON-SPECIFIC",868
"6492","SABANA HOYOS CORRECTIONAL INSTITUTION",16
"6493","SABATTUS POLICE DEPARTMENT",1
"6494","SABINE COUNTY JAIL, HEMPHILL, TX",2
"6495","SAC COUNTY JAIL, IA",1
"6496","SAC GENERAL AREA, NON-SPECIFIC",661
"6497","SACHSE POLICE DEPARTMENT",12
"6498","SACO POLICE DEPARTMENT",12
"6499","SACRAMENTO COUNTY JAIL",1057
"6500","SACRAMENTO COUNTY PROBATION DEPARTMENT",2
"6501","SACRAMENTO CRIMINAL ALIEN PROGRAM",16
"6502","SACRAMENTO ERO OFFICE",34
"6503","SACRAMENTO POLICE DEPARTMENT",3
"6504","SACRAMENTO SHERIFF OFFICE",29
"6505","SADDLE BROOK PD",18
"6506","SADDLE RIVER PD",5
"6507","SAGADAHOC COUNTY SHERIFF'S OFFICE, BATH",1
"6508","SAGINAW CHIPPEWA INDIAN TRIBAL COURT, MT. PLEASANT",1
"6509","SAGINAW COUNTY JAIL, SAGINAW, MI",14
"6510","SAGINAW POLICE DEPARTMENT",16
"6511","SAGINAW, MICHIGAN",13
"6512","SAGUACHE COUNTY",1
"6513","SAGUACHE COUNTY JAIL",32
"6514","SAGUACHE COUNTY, CO",3
"6515","SAI GENERAL AREA, NON-SPECIFIC",406
"6516","SAINT BRIDE CORRECTIONAL CENTER, VA DOC",9
"6517","SAINT CLAIR COUNTY, ILLINOIS PROBATION AND PAROLE",1
"6518","SAINT FRANCIS COUNTY JAIL",3
"6519","SAIPAN ATTY GENERALS OFFICE",2
"6520","SAIPAN DEPT OF CORRECTIONS",128
"6521","SAIPAN ERO OFFICE",80
"6522","SAJ GENERAL AREA, NON SPECIFIC",1
"6523","SAJ GENERAL AREA, NON-SPECIFIC",448
"6524","SALEM COUNTY SHERIFF",6
"6525","SALEM COUNTY SHERIFF'S OFFICE, NJ",208
"6526","SALEM COUNTY, NEW JERSEY",83
"6527","SALINAS  POLICE DEPARTMENT",3
"6528","SALINAS VALLEY STATE PRISON",29
"6529","SALINE COUNTY JAIL",131
"6530","SALINE COUNTY JAIL, NE",60
"6531","SALINE COUNTY PROBATION-BENTON OFFICE",1
"6532","SALINE COUNTY SHERIFFS OFFICE MISSOURI",7
"6533","SALINE COUNTY SHERIFFS OFFICE, SALINA, KANSAS",18
"6534","SALINE POLICE DEPARTMENT",1
"6535","SALISBURY, CT",1
"6536","SALISBURY, MD GENERAL AREA",58
"6537","SALT LAKE COUNTY ADULT DETENTION CENTER - UT",1118
"6538","SALT LAKE COUNTY JAIL - UT",6
"6539","SALT LAKE JUVENILE CENTER",17
"6540","SALUDA COUNTY DETENTION CENTER",19
"6541","SALUDA COUNTY, SC",7
"6542","SALUDA, SC",144
"6543","SAMPSON COUNTY FUGITIVE OPERATIONS",25
"6544","SAMPSON COUNTY JAIL",175
"6545","SAMPSON COUNTY PROBATION CLINTON NC",2
"6546","SAN ANGELO SUB-OFFICE",13
"6547","SAN ANTONIO BEXAR COUNTY PROBATION",47
"6548","SAN ANTONIO FUG OPS  RIVERCITY CAP REFERRAL",6
"6549","SAN ANTONIO FUG OPS  RIVERCITY CIS REFERRAL LOCATE",1
"6550","SAN ANTONIO FUG OPS  RIVERCITY PROBATION AND PAROLE",54
"6551","SAN ANTONIO FUG OPS ALAMO CAP REFERRAL",2
"6552","SAN ANTONIO FUG OPS ALAMO CIS REFERRAL LOCATE",1
"6553","SAN ANTONIO FUG OPS ALAMO COMMAND CENTER",4
"6554","SAN ANTONIO FUG OPS ALAMO PROBATION AND PAROLE",10
"6555","SAN ANTONIO FUGITIVE OPERATIONS ALAMO",99
"6556","SAN ANTONIO FUGITIVE OPERATIONS RIVERCITY",150
"6557","SAN ANTONIO POLICE DEPARTMENT - TXSPD0000",43
"6558","SAN AUGUSTINE COUNTY JAIL, SAN AUGUSTINE, TX",6
"6559","SAN AUGUSTINE COUNTY PROBATION, SAN AUGUSTINE, TX",1
"6560","SAN BENITO CITY JAIL, TX",91
"6561","SAN BENITO COUNTY JAIL",54
"6562","SAN BENITO COUNTY SHERIFF'S OFFICE",6
"6563","SAN BERNARDINO CENTRAL DETENTION CENTER SAN BERNARDINO, CA",1
"6564","SAN BERNARDINO COUNTY JAIL SAN BERNARDINO, CA",84
"6565","SAN BRUNO POLICE DEPARTMENT",7
"6566","SAN DIEGO BORDER PATROL",83
"6567","San Diego CAP Arrest Team",2
"6568","SAN DIEGO CENTRAL JAIL",5302
"6569","SAN DIEGO COUNTY SHERIFF'S DEPARTMENT",44
"6570","SAN DIEGO FUGOPS",3127
"6571","SAN DIEGO INSPECTIONS",156
"6572","SAN DIEGO INVESTIGATIONS",1
"6573","SAN DIEGO NON-DETAINED UNIT",41
"6574","San Diego PD Gang TF, San Diego, CA",2
"6575","SAN DIEGO POLICE DEPARTMENT",5
"6576","SAN DIEGO STREET TEAM",3
"6577","San Diego, CA",129
"6578","SAN DIMAS SHERIFF'S DEPT, SAN DIMAS, CA",1
"6579","SAN FRANCISCO COUNTY JAIL - CA",784
"6580","SAN FRANCISCO COUNTY SHERIFF'S OFFICE",46
"6581","SAN FRANCISCO DISTRICT OFFICE",151
"6582","SAN FRANCISCO JUVENILE HALL",6
"6583","SAN FRANCISCO JUVENILE PROBATION",1
"6584","SAN FRANCISCO PARK RANGER",1
"6585","SAN FRANCISCO POLICE DEPARTMENT",26
"6586","SAN GABRIEL POLICE DEPT, SAN GABRIEL, CA",2
"6587","SAN JACINTO COUNTY JAIL, COLDSPRING, TX",31
"6588","SAN JOAQUIN COUNTY JAIL",497
"6589","SAN JOAQUIN COUNTY JUVENILE HALL",1
"6590","SAN JOAQUIN COUNTY SHERIFF OFFICE",11
"6591","SAN JOSE  POLICE DEPARTMENT",27
"6592","SAN JUAN ALTERNATIVES TO DETENTION",1
"6593","SAN JUAN CITY JAIL, TX",63
"6594","SAN JUAN COUNTY",1
"6595","SAN JUAN COUNTY COURTHOUSE",1
"6596","SAN JUAN COUNTY DETENTION CENTER, FARMINGTON, NM",128
"6597","SAN JUAN COUNTY JAIL",2
"6598","SAN JUAN COUNTY JAIL - UT",2
"6599","SAN JUAN COUNTY SHERIFFS OFFICE HOLDING FACILITY",1
"6600","SAN JUAN COURT PICKUP",2
"6601","SAN JUAN PROBATION OFFICE",3
"6602","SAN JUAN, PORT OF ENTRY",2
"6603","SAN JUAN, PR/ BOOKING STATION",6
"6604","SAN JUAN, PR/ DETAINER",3
"6605","SAN LUIS CAP STREET ARREST",1
"6606","SAN LUIS INSPECTIONS REPROCESSED CASE",2
"6607","SAN LUIS OBISPO COUNTY",154
"6608","SAN LUIS OBISPO COUNTY JAIL, SAN LUIS OBISPO, CA",1
"6609","SAN LUIS POLICE DEPT.",12
"6610","SAN LUIS REGIONAL DETENTION CENTER",186
"6611","San Marcos, CA",13
"6612","SAN MATEO ADULT PROBATION",3
"6613","SAN MATEO COUNTY JAIL - CA",1018
"6614","SAN MATEO COUNTY SHERIFF'S OFFICE",35
"6615","SAN MIGUEL COUNTY",20
"6616","SAN MIGUEL COUNTY DETENTION CENTER, LAS VEGAS, NM",1
"6617","SAN MIGUEL COUNTY JAIL",50
"6618","SAN MIGUEL COUNTY, CO",1
"6619","SAN PABLO POLICE DEPARTMENT",6
"6620","SAN PATRICIO COUNTY JAIL, SINTON, TX",34
"6621","SAN PATRICIO COUNTY PROBATION, ARANSAS PASS, TX",1
"6622","SAN QUENTIN STATE PRISON (MAIN) - CA",561
"6623","SAN QUENTIN STATE PRISON (PRISON RECEPTION ) - CA",57
"6624","SAN RAFAEL POLICE DEPARTMENT",2
"6625","SAN SABA COUNTY JAIL, SAN SABA, TEXAS",44
"6626","San Ysidro, CA",1
"6627","SANDERS COUNTY JAIL MT",2
"6628","SANDOVAL COUNTY DETENTION CENTER",6
"6629","SANDUSKY COUNTY JAIL",4
"6630","SANDY MUSH JAIL",6
"6631","SANDY SPRINGS, GA",16
"6632","SANFORD GENERAL AREA",19
"6633","SANFORD ORLANDO INTERNATIONAL AIRPORT",1
"6634","SANFORD POLICE DEPARTMENT",2
"6635","SANFORD, FL PROBATION & PAROLE, FL DOC #186",2
"6636","SANGAMON COUNTY SHERIFF'S OFFICE, IL",3
"6637","SANGER POLICE DEPARTMENT",14
"6638","SANILAC COUNTY JAIL, SANDUSKY, MI",4
"6639","SANPETE COUNTY JAIL - UT",10
"6640","SANSOM PARK POLICE DEPARTMENT",1
"6641","SANTA ANA CITY JAIL",4
"6642","SANTA ANA FEDERAL BUILDING, 34 CIVIC CENTER PLAZA",78
"6643","SANTA ANA, CA",2
"6644","SANTA ANA, CA GENERAL AREA, NON-SPECIFIC",1
"6645","SANTA BARBARA COUNTY GENERAL AREA, NON-SPECIFIC",28
"6646","SANTA BARBARA COUNTY JAIL NORTH",6
"6647","SANTA BARBARA COUNTY JAIL, SANTA BARBARA,CA",1114
"6648","SANTA BARBARA COUNTY JUVENILE HALL,SANTA BARBARA,CA",1
"6649","SANTA CLARA  POLICE DEPARTMENT",16
"6650","SANTA CLARA COUNTY JAIL",2153
"6651","SANTA CLARA COUNTY NARCOTICS TASK FORCE",13
"6652","SANTA CLARA COUNTY SHERIFF'S OFFICE",98
"6653","SANTA CLARITA JAIL LASD VALENCIA, CA",26
"6654","SANTA CLARITA VALLEY SHERIFFS DEPT, SANTA CLARITA, CA",2
"6655","SANTA CRUZ  POLICE DEPARTMENT",2
"6656","SANTA CRUZ COUNTY JAIL",179
"6657","SANTA CRUZ COUNTY SHERIFF'S OFFICE",6
"6658","SANTA FE COUNTY ADULT DETENTION CENTER, SANTA FE, NM",23
"6659","SANTA FE PNM, SANTA FE, NM, STATE FACILITY",8
"6660","SANTA FE POLICE DEPT, GALVESTON COUNTY, TX",2
"6661","SANTA ROSA COUNTY JAIL, FL",35
"6662","SANTA ROSA COUNTY, FL",1
"6663","SANTA ROSA COUNTY, FL PROBATION DEPT",7
"6664","SANTIAM CORRECTIONAL INSTITUTION (SCI)",9
"6665","SARALAND PD, AL",3
"6666","SARATOGA COUNTY",21
"6667","SARATOGA COUNTY JAIL",41
"6668","SARATOGA COUNTY PROBATION",1
"6669","SARATOGA COUNTY SHERIFFS OFFICE",24
"6670","SARATOGA POLICE DEPARTMENT",23
"6671","SARPY COUNTY JAIL, NE",356
"6672","SAUNDERS COUNTY JAIL, NE",75
"6673","SAV GENERAL AREA, NON-SPECIFIC",699
"6674","SAVANNAH, GA",50
"6675","SAYREVILLE PD",45
"6676","SBD GENERAL AREA, NON-SPECIFIC",2293
"6677","SBI/JCART HIDALGO COUNTY JAIL, EDINBURG, TX",14
"6678","SBI/JCART SAN JUAN CITY JAIL, TX",18
"6679","SBI/JCART STARR COUNTY JAIL, RIO GRANDE CITY, TX",73
"6680","SBI/JCART WILLACY COUNTY JAIL, RAYMONDVILLE, TX",3
"6681","SBI/JCART WILLACY COUNTY REGIONAL CORRECTIONAL CENTER, TX",3
"6682","SBI/JCAT BROWNSVILLE CITY JAIL, TX",1
"6683","SBI/VCAS HIDALGO COUNTY JAIL, TX",8
"6684","SBI/VCAS PHARR CITY JAIL, TX",1
"6685","SBI/VCAS SAN DIEGO FIELD OFFICE AOR",9
"6686","SBI/VCAS STARR COUNTY JAIL, RIO GRANDE CITY, TX",10
"6687","SBI/VCAS WILLACY COUNTY JAIL, TX",2
"6688","SBI/VCAS WILLACY COUNTY REGIONAL CORRECTIONAL CENTER, TX",2
"6689","SC DEPT. OF CORRECTIONS ALLENDALE CORRECTIONAL INSTITUTION",1
"6690","SC DEPT. OF CORRECTIONS MCDOUGALL CORRECTIONAL INSTITUTION",1
"6691","SC DEPT. OF CORRECTIONS RIDGELAND CORRECTIONAL INSTITUTION",3
"6692","SC DEPT. OF CORRECTIONS TURBEVILLE CORRECTIONAL INSTITUTION",3
"6693","SC INTEROPERABILITY LAFO",96411
"6694","SCARBOROUGH POLICE DEPARTMENT",4
"6695","SCHENECTADY COUNTY",18
"6696","SCHENECTADY COUNTY JAIL",140
"6697","SCHENECTADY COUNTY PROBATION",1
"6698","SCHENECTADY COUNTY SHERIFFS OFFICE",8
"6699","SCHENECTADY POLICE DEPARMENT",39
"6700","SCHLEICHER COUNTY JAIL - ELDORADO, TX",1
"6701","Schleicher County, TX Jail",1
"6702","SCHOHARIE COUNTY SHERIFFS OFFICE",5
"6703","SCHUYLER COUNTY JAIL",1
"6704","SCHUYLKILL COUNTY PRISON",51
"6705","SCIOTO COUNTY JAIL",3
"6706","SCORE (SOUTH CORRECTIONAL ENTITY)",669
"6707","SCOTCH PLAINS PD",16
"6708","SCOTLAND COUNTY JAIL",2
"6709","SCOTLANDVILLE GENERAL AREA, NON-SPECIFIC",476
"6710","SCOTT COUNTY DETENTION CTR, KY",25
"6711","SCOTT COUNTY JAIL",14
"6712","SCOTT COUNTY JAIL AND ANNEX, IA",4
"6713","SCOTT COUNTY JAIL, IA",166
"6714","SCOTT COUNTY SHERIFF'S DEPARTMENT, MISSOURI",5
"6715","SCOTT COUNTY SHERIFF'S OFFICE, INDIANA",5
"6716","SCOTT COUNTY SHERIFFS OFFICE, SCOTT CITY, KANSAS",4
"6717","SCOTT COUNTY, MN",341
"6718","SCOTT COUNTY, MS",193
"6719","SCOTTS BLUFF COUNTY JAIL, NE",44
"6720","SCOTTSBLUFF RESIDENT OFFICER PILOT",2
"6721","SCRANTON POLICE DEPARTMENT - SCRANTON, PA",4
"6722","SCURRY COUNTY JAIL",42
"6723","SD PAROLE-STATE-PAROLE SERVICES, SIOUX FALLS, SD",1
"6724","SD PROBATION-CO-COURT SERVICES, PENNINGTON CO, RAPID CITY, SD",1
"6725","SD STATE PRISON (DURFEE), SPRINGFIELD, SD",12
"6726","SD STATE PRISON WOMENS PRISON, PIERRE, SD",1
"6727","SD STATE PRISON, SIOUX FALLS, SD",28
"6728","SD WOMEN'S PRISON, PIERRE, SD",8
"6729","SEA BRIGHT PD",5
"6730","SEA CAP",1450
"6731","SEA GENERAL AREA, NON-SPECIFIC",8
"6732","SEA GIRT PD",2
"6733","SEABROOK POLICE DEPT, HARRIS COUNTY, TX",3
"6734","SEAFORD PROBATION",2
"6735","SEAGOVILLE BOP",26
"6736","SEAGOVILLE POLICE DEPARTMENT",14
"6737","SEALY, TEXAS",1
"6738","SEASIDE  POLICE DEPARTMENT",8
"6739","SEASIDE HEIGHTS POLICE DEPARTMENT",2
"6740","SEATTLE FUG OPS",932
"6741","SEATTLE NON-DETAINED DOCKET",188
"6742","SEBASTIAN COUNTY JAIL",180
"6743","SEBASTOPOL POLICE DEPARTMENT",1
"6744","SECAUCUS PD",106
"6745","SECURE COMMUNITIES",37
"6746","SECURE COMMUNITIES NEW YORK",1
"6747","SECURE COMMUNITIES OKLAHOMA COUNTY JAIL",1
"6748","Sedgwick County",2
"6749","Sedgwick County Jail",1
"6750","SEDGWICK COUNTY SHERIFFS OFFICE, WICHITA, KANSAS",181
"6751","SELMA POLICE DEPARTMENT",8
"6752","SEMINOLE COUNTY JAIL",1
"6753","SEMINOLE COUNTY JAIL, GA",5
"6754","SENECA COUNTY",2
"6755","SENECA COUNTY JAIL",27
"6756","SENOIA, GA",2
"6757","SEQUATCHIE COUNTY JAIL, TN",31
"6758","SEQUOYAH COUNTY JAIL",11
"6759","SEVIER COUNTY JAIL",97
"6760","SEVIER COUNTY JAIL - UT",29
"6761","SEVIER COUNTY JAIL, TN",323
"6762","SEWARD COUNTY JAIL, NE",5
"6763","SEWARD COUNTY SHERIFFS OFFICE, LIBERAL, KANSAS",137
"6764","SFD GENERAL AREA, NON-SPECIFIC",330
